Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000117202			Gm9349
ENSMUSG00000117150			Gm9351
ENSMUSG00000059461			Gm7331
ENSMUSG00000040966	ENSG00000112499	SLC22A2	Slc22a2
ENSMUSG00000082007			Gm15206
ENSMUSG00000083963			Gm15203
ENSMUSG00002076833	ENSG00000252757	RN7SKP96	Gm55016
ENSMUSG00002076833	ENSG00000252322	RN7SKP244	Gm55016
ENSMUSG00002075276			Gm55017
ENSMUSG00000082571			Gm8737
ENSMUSG00002076423	ENSG00000220986		Gm23786
ENSMUSG00002076423	ENSG00000281311		Gm23786
ENSMUSG00000104536	ENSG00000252904		Gm23786
ENSMUSG00000104536	ENSG00000252122		Gm23786
ENSMUSG00000031201	ENSG00000185515	BRCC3	Brcc3
ENSMUSG00002075900			Gm54889
ENSMUSG00002075101			Gm54890
ENSMUSG00000053846	ENSG00000101670	LIPG	Lipg
ENSMUSG00000069170	ENSG00000164199	ADGRV1	Adgrv1
ENSMUSG00000062328			Rpl17
ENSMUSG00000023829	ENSG00000175003	SLC22A1	Slc22a1
ENSMUSG00000037958	ENSG00000126653	NSRP1	Nsrp1
ENSMUSG00000015733	ENSG00000198898	CAPZA2	Capza2
ENSMUSG00000064871	ENSG00000271982	SNORD58B	Snord58b
ENSMUSG00000064647	ENSG00000206602	SNORD58A	Gm23301
ENSMUSG00000064844			Gm26202
ENSMUSG00000113435			Gm19441
ENSMUSG00000118144			Gm50313
ENSMUSG00000113510			Gm7239
ENSMUSG00000036299	ENSG00000177576	C18orf32	BC031181
ENSMUSG00000113337			Gm19220
ENSMUSG00000114166			Gm18246
ENSMUSG00000114130			Gm18954
ENSMUSG00000046768	ENSG00000126785	RHOJ	Rhoj
ENSMUSG00000035765	ENSG00000141627	DYM	Dym
ENSMUSG00000117179			Gm49907
ENSMUSG00000117324			Gm32432
ENSMUSG00000022876	ENSG00000155307	SAMSN1	Samsn1
ENSMUSG00000077639	ENSG00000202283		Gm22772
ENSMUSG00000065518	ENSG00000266919	hsa-mir-423	Mir423
ENSMUSG00000020303	ENSG00000113739	STC2	Stc2
ENSMUSG00000023830	ENSG00000197081	IGF2R	Igf2r
ENSMUSG00002076942			Gm55686
ENSMUSG00002075140			Gm55687
ENSMUSG00000092793			Mir466m
ENSMUSG00000077972			Mir466f-1
ENSMUSG00000077038			Mir669f
ENSMUSG00000080653			Mir669e
ENSMUSG00000076126			Mir669b
ENSMUSG00002075055			Gm55689
ENSMUSG00000077834			Mir669d
ENSMUSG00000077998			Mir466f-2
ENSMUSG00000076959			Mir669l
ENSMUSG00000080504			Mir669d-2
ENSMUSG00000077981			Mir466f-3
ENSMUSG00000076983			Mir297a-2
ENSMUSG00000044502	ENSG00000145919	BOD1	Bod1
ENSMUSG00000044502	ENSG00000228075	BOD1L2	Bod1
ENSMUSG00000078026			Mir466o
ENSMUSG00002075960			Gm55690
ENSMUSG00000042133	ENSG00000138398	PPIG	Ppig
ENSMUSG00000028484	ENSG00000164985	PSIP1	Psip1
ENSMUSG00000103635			Gm38061
ENSMUSG00000050944	ENSG00000176927	EFCAB5	Efcab5
ENSMUSG00000087214			Gm15555
ENSMUSG00000077197			Gm22268
ENSMUSG00000098089			Gm26915
ENSMUSG00000022938	ENSG00000183844	FAM3B	Fam3b
ENSMUSG00000048982	ENSG00000179600	GPHB5	Gphb5
ENSMUSG00000056899	ENSG00000184903	IMMP2L	Immp2l
ENSMUSG00000065543	ENSG00000284544	MIR330	Mir330
ENSMUSG00000044317	ENSG00000177464	GPR4	Gpr4
ENSMUSG00000030612	ENSG00000259494	MRPL46	Mrpl46
ENSMUSG00000038115	ENSG00000047617	ANO2	Ano2
ENSMUSG00000033356	ENSG00000129317	PUS7L	Pus7l
ENSMUSG00000082208			Gm15379
ENSMUSG00000083093			Gm15385
ENSMUSG00000108536			Gm45059
ENSMUSG00000048490	ENSG00000180530	NRIP1	Nrip1
ENSMUSG00000052214	ENSG00000125741	OPA3	Opa3
ENSMUSG00000048709			Gm8666
ENSMUSG00000089369	ENSG00000199674	RNU6-862P	Gm23819
ENSMUSG00000031274	ENSG00000188153	COL4A5	Col4a5
ENSMUSG00000040287	ENSG00000185482	STAC3	Stac3
ENSMUSG00000113994			Gm47375
ENSMUSG00000119635			Gm25497
ENSMUSG00000113454			Gm47373
ENSMUSG00000036295	ENSG00000173114	LRRN3	Lrrn3
ENSMUSG00000064580			Gm25134
ENSMUSG00000030611	ENSG00000181991	MRPS11	Mrps11
ENSMUSG00002075461			Gm54896
ENSMUSG00000094153			Gm8807
ENSMUSG00000113766			Gm47374
ENSMUSG00000113438			Gm47369
ENSMUSG00000118310			Gm50268
ENSMUSG00000052928	ENSG00000134030	CTIF	Ctif
ENSMUSG00000059883	ENSG00000198001	IRAK4	Irak4
ENSMUSG00000090291	ENSG00000204950	LRRC10B	Lrrc10b
ENSMUSG00000113105			Gm47371
ENSMUSG00000113979			Gm47012
ENSMUSG00000113420			Gm7242
ENSMUSG00000057506	ENSG00000196072	BLOC1S2	Bloc1s2
ENSMUSG00002076586			Gm54879
ENSMUSG00000112904			Gm47030
ENSMUSG00000082550			Gm12344
ENSMUSG00000065004			Gm26326
ENSMUSG00000102038			Gm12345
ENSMUSG00000112844			Gm47036
ENSMUSG00000020780	ENSG00000167881	SRP68	Srp68
ENSMUSG00000111960			Gm46349
ENSMUSG00000112038			Gm47056
ENSMUSG00000111920			Gm7370
ENSMUSG00000021051	ENSG00000154001	PPP2R5E	Ppp2r5e
ENSMUSG00000037578	ENSG00000107593	PKD2L1	Pkd2l1
ENSMUSG00000108903			Gm45029
ENSMUSG00000116609			Gm5675
ENSMUSG00000077451			Gm25916
ENSMUSG00000116798			Gm49591
ENSMUSG00000022865	ENSG00000154639	CXADR	Cxadr
ENSMUSG00000118164			Gm20570
ENSMUSG00000044646	ENSG00000184828	ZBTB7C	Zbtb7c
ENSMUSG00000108603			5330411O13Rik
ENSMUSG00000030403	ENSG00000125753	VASP	Vasp
ENSMUSG00000040280	ENSG00000185633	NDUFA4L2	Ndufa4l2
ENSMUSG00000117797			2900057B20Rik
ENSMUSG00000098276			Mir6358
ENSMUSG00000118004			BC026513
ENSMUSG00000024563	ENSG00000175387	SMAD2	Smad2
ENSMUSG00000022451	ENSG00000151239	TWF1	Twf1
ENSMUSG00000043259	ENSG00000148541	FAM13C	Fam13c
ENSMUSG00000025202			Scd3
ENSMUSG00000020300	ENSG00000113742	CPEB4	Cpeb4
ENSMUSG00000112254			Gm47690
ENSMUSG00000030610	ENSG00000140543	DET1	Det1
ENSMUSG00000112459			Gm47689
ENSMUSG00000014905	ENSG00000128590	DNAJB9	Dnajb9
ENSMUSG00000035179	ENSG00000162148	SAXO4	Saxo4
ENSMUSG00000022863	ENSG00000154640	BTG3	Btg3
ENSMUSG00000024068	ENSG00000021574	SPAST	Spast
ENSMUSG00000093618			Mir5627
ENSMUSG00000045690	ENSG00000140006	WDR89	Wdr89
ENSMUSG00000098410			Mir1957b
ENSMUSG00000038005	ENSG00000056050	HPF1	Hpf1
ENSMUSG00000059834	ENSG00000151466	SCLT1	Sclt1
ENSMUSG00000107856			Gm7838
ENSMUSG00000108791			1700011D18Rik
ENSMUSG00000118552	ENSG00000177600	RPLP2	Rplp2-ps1
ENSMUSG00000089834			Gm16303
ENSMUSG00000021054	ENSG00000126821	SGPP1	Sgpp1
ENSMUSG00000030402	ENSG00000213889	PPM1N	Ppm1n
ENSMUSG00000088959			Gm24947
ENSMUSG00000107747			Gm5881
ENSMUSG00000063296	ENSG00000139173	TMEM117	Tmem117
ENSMUSG00000049107	ENSG00000185652	NTF3	Ntf3
ENSMUSG00000036257	ENSG00000135241	PNPLA8	Pnpla8
ENSMUSG00000116707			Gm49590
ENSMUSG00000064862	ENSG00000206780	SNORA75B	Gm25038
ENSMUSG00000064862	ENSG00000212593	SNORA75	Gm25038
ENSMUSG00000064862	ENSG00000212620	SNORA75	Gm25038
ENSMUSG00000064862	ENSG00000212580	SNORA75	Gm25038
ENSMUSG00000116539			Gm49603
ENSMUSG00000116959			Gm49604
ENSMUSG00000022864	ENSG00000154642	C21orf91	D16Ertd472e
ENSMUSG00000101659			Gm29009
ENSMUSG00000059187	ENSG00000183662	TAFA1	Tafa1
ENSMUSG00000108385			Gm44730
ENSMUSG00000065609			Mir7-2
ENSMUSG00000008373	ENSG00000105618	PRPF31	Prpf31
ENSMUSG00000082416			Gm11414
ENSMUSG00000066116			Gm10154
ENSMUSG00000119001			Gm25546
ENSMUSG00000077447			Gm23129
ENSMUSG00000022454	ENSG00000184613	NELL2	Nell2
ENSMUSG00000028826	ENSG00000204178	MACO1	Maco1
ENSMUSG00000108163			Gm44431
ENSMUSG00000072878	ENSG00000093000	NUP50	Nup50l
ENSMUSG00000065239			Gm22971
ENSMUSG00000077598	ENSG00000206826	RNU6-974P	Gm26011
ENSMUSG00000077598	ENSG00000252415	RNU6-1012P	Gm26011
ENSMUSG00000077598	ENSG00000252626	RNU6-1308P	Gm26011
ENSMUSG00000046500	ENSG00000163377	TAFA4	Tafa4
ENSMUSG00000031478	ENSG00000136098	NEK3	Nek3
ENSMUSG00000035245	ENSG00000163378	EOGT	Eogt
ENSMUSG00000024668	ENSG00000167985	SDHAF2	Sdhaf2
ENSMUSG00000063406	ENSG00000117500	TMED5	Tmed5
ENSMUSG00000020299	ENSG00000185056	C5orf47	4930524B15Rik
ENSMUSG00000037926	ENSG00000141298	SSH2	Ssh2
ENSMUSG00000077049			Mir467c
ENSMUSG00000119771			Mir466b-1
ENSMUSG00000076028			Mir669a-3
ENSMUSG00000119803			Mir669k
ENSMUSG00002075143			Gm55694
ENSMUSG00000119247			Mir467a-1
ENSMUSG00000095269			Mir466b-8
ENSMUSG00000119292			Mir669a-1
ENSMUSG00000080459			Mir669g
ENSMUSG00000082345			Gm13622
ENSMUSG00000052407	ENSG00000164989	CCDC171	Ccdc171
ENSMUSG00002076944			Gm55695
ENSMUSG00000119793			Mir669j
ENSMUSG00000119385			Mir467a-2
ENSMUSG00000119608			Mir466e
ENSMUSG00000119626			Mir669a-4
ENSMUSG00002075541			Gm55696
ENSMUSG00002076617			Gm55697
ENSMUSG00000119508			Mir467b
ENSMUSG00000119566			Mir466c-1
ENSMUSG00000119137			Mir669a-5
ENSMUSG00002076075			Gm55698
ENSMUSG00002076869			Gm55699
ENSMUSG00000119931			Mir467a-3
ENSMUSG00000118762			Mir466c-2
ENSMUSG00000119304			Mir669a-6
ENSMUSG00002075738			Gm55700
ENSMUSG00002075631			Gm55701
ENSMUSG00002076835			Gm55702
ENSMUSG00000070883	ENSG00000154479	CFAP210	Cfap210
ENSMUSG00002074897	ENSG00000251776	RN7SKP242	Gm55389
ENSMUSG00002074897	ENSG00000252963	RN7SKP147	Gm55389
ENSMUSG00002074897	ENSG00000253001	RN7SKP105	Gm55389
ENSMUSG00002074897	ENSG00000252490	RN7SKP66	Gm55389
ENSMUSG00000034820	ENSG00000149532	CPSF7	Cpsf7
ENSMUSG00000112273			Gm29783
ENSMUSG00000025403	ENSG00000182199	SHMT2	Shmt2
ENSMUSG00000116628			4930478L05Rik
ENSMUSG00000119938			Gm24861
ENSMUSG00000116730			4930403O18Rik
ENSMUSG00000022860	ENSG00000154645	CHODL	Chodl
ENSMUSG00000095557			Gm3415
ENSMUSG00000117816			Gm50360
ENSMUSG00000107502			Gm44065
ENSMUSG00000118108			Gm50284
ENSMUSG00000030059	ENSG00000144747	TMF1	Tmf1
ENSMUSG00000032818	ENSG00000167210	LOXHD1	Loxhd1
ENSMUSG00000119498			Mir467a-4
ENSMUSG00000119042			Mir466b-4
ENSMUSG00000119125			Mir669a-7
ENSMUSG00002076388			Gm55704
ENSMUSG00002076577			Gm55705
ENSMUSG00002075668			Gm55706
ENSMUSG00000119161			Mir467a-5
ENSMUSG00000119006			Mir466b-5
ENSMUSG00000119450			Mir669p-1
ENSMUSG00002075878			Gm55707
ENSMUSG00002076296			Gm55708
ENSMUSG00002076887			Gm55709
ENSMUSG00000118909			Mir467a-6
ENSMUSG00000119785			Mir466c-3
ENSMUSG00000119344			Mir669a-8
ENSMUSG00002076422			Gm55710
ENSMUSG00002076686			Gm55711
ENSMUSG00000094090			Gm8494
ENSMUSG00002076510			Gm55712
ENSMUSG00000119559			Mir467a-7
ENSMUSG00000119051			Mir466b-6
ENSMUSG00000041468	ENSG00000132975	GPR12	Gpr12
ENSMUSG00000119882			Mir669a-9
ENSMUSG00002076753			Gm55713
ENSMUSG00002076980			Gm55714
ENSMUSG00002076144			Gm55715
ENSMUSG00000119434			Mir467a-8
ENSMUSG00000119723			Mir466b-7
ENSMUSG00000119195			Mir669p-2
ENSMUSG00002076560			Gm55716
ENSMUSG00002076585			Gm55717
ENSMUSG00002075201			Gm55718
ENSMUSG00000119554			Mir467a-9
ENSMUSG00000118692			Mir466b-2
ENSMUSG00000119908			Mir669a-10
ENSMUSG00002076172			Gm55719
ENSMUSG00002075159			Gm55720
ENSMUSG00002075272			Gm55721
ENSMUSG00000118833			Gm55722
ENSMUSG00002075310			Gm55723
ENSMUSG00000119044			Mir669a-11
ENSMUSG00002076127			Gm55724
ENSMUSG00002076667			Gm55725
ENSMUSG00002076849			Gm55726
ENSMUSG00000027088	ENSG00000144362	PHOSPHO2	Phospho2
ENSMUSG00000029106	ENSG00000087274	ADD1	Add1
ENSMUSG00000105469			A930036I15Rik
ENSMUSG00000105939			Gm43322
ENSMUSG00000105119			Gm43765
ENSMUSG00000112795			Gm2027
ENSMUSG00000077617			Gm25501
ENSMUSG00000106612			Gm43750
ENSMUSG00000021209	ENSG00000119698	PPP4R4	Ppp4r4
ENSMUSG00000105322			Gm43751
ENSMUSG00000015749	ENSG00000143401	ANP32E	Anp32e
ENSMUSG00000037725	ENSG00000136108	CKAP2	Ckap2
ENSMUSG00000089560			Gm24668
ENSMUSG00000026383	ENSG00000115109	EPB41L5	Epb41l5
ENSMUSG00000045608	ENSG00000185610	DBX2	Dbx2
ENSMUSG00000077649			Gm24989
ENSMUSG00000000538	ENSG00000175662	TOM1L2	Tom1l2
ENSMUSG00000022857	ENSG00000154646	TMPRSS15	Tmprss15
ENSMUSG00000116058			Gm8843
ENSMUSG00002075070			Gm55415
ENSMUSG00000043329			Gm8849
ENSMUSG00000117061			Gm49958
ENSMUSG00000065728			Gm26175
ENSMUSG00000064606	ENSG00000200062	RNU4-58P	Gm25899
ENSMUSG00000098217			Gm27046
ENSMUSG00000030061	ENSG00000144744	UBA3	Uba3
ENSMUSG00000089769			Gm16574
ENSMUSG00000089817			Gm7162
ENSMUSG00000037487	ENSG00000104517	UBR5	Ubr5
ENSMUSG00000040258	ENSG00000182379	NXPH4	Nxph4
ENSMUSG00000102899			Gm37850
ENSMUSG00000080793			Cbx3-ps3
ENSMUSG00000028825	ENSG00000187010	RHD	Rhd
ENSMUSG00000028825	ENSG00000188672	RHCE	Rhd
ENSMUSG00000068037	ENSG00000130368	MAS1	Mas1
ENSMUSG00000031479	ENSG00000136100	VPS36	Vps36
ENSMUSG00000032295	ENSG00000140400	MAN2C1	Man2c1
ENSMUSG00000037747	ENSG00000165443	PHYHIPL	Phyhipl
ENSMUSG00000024667	ENSG00000187049	TMEM216	Tmem216
ENSMUSG00000118710			Mir467a-10
ENSMUSG00000076994			Mir466b-3
ENSMUSG00000119447			Mir669a-12
ENSMUSG00000081857			Gm13624
ENSMUSG00002076956			Gm55728
ENSMUSG00000076948			Mir467e
ENSMUSG00000069020	ENSG00000167118	URM1	Urm1
ENSMUSG00000097942			Gm26968
ENSMUSG00000083044			Gm12416
ENSMUSG00000028822	ENSG00000183726	TMEM50A	Tmem50a
ENSMUSG00000047554	ENSG00000166471	TMEM41B	Tmem41b
ENSMUSG00002075627			Gm55416
ENSMUSG00000059408			Mrgprh
ENSMUSG00000031480	ENSG00000136114	THSD1	Thsd1
ENSMUSG00000073460	ENSG00000146453	PNLDC1	Pnldc1
ENSMUSG00000037266	ENSG00000117616	RSRP1	Rsrp1
ENSMUSG00000024666	ENSG00000149483	TMEM138	Tmem138
ENSMUSG00000090007			Rpl30-ps2
ENSMUSG00000077113			Mir466p
ENSMUSG00002075178			Gm55729
ENSMUSG00002075323			Gm55730
ENSMUSG00000077021			Mir467d
ENSMUSG00000070099			Mir466
ENSMUSG00002076337			Gm55731
ENSMUSG00000076976			Mir297c
ENSMUSG00000076118			Mir669c
ENSMUSG00002076099			Gm55732
ENSMUSG00000033545	ENSG00000186187	ZNRF1	Znrf1
ENSMUSG00000038533	ENSG00000078699	CBFA2T2	Cbfa2t2
ENSMUSG00000112149			Gm47611
ENSMUSG00000112791			Gm47612
ENSMUSG00000112752			Gm48021
ENSMUSG00000112320			Gm48022
ENSMUSG00000112870			Gm40689
ENSMUSG00000038602	ENSG00000196376	SLC35F1	Slc35f1
ENSMUSG00000114939			Gm48566
ENSMUSG00000114454			Gm48567
ENSMUSG00000021420	ENSG00000145982	FARS2	Fars2
ENSMUSG00000111918			Gm47624
ENSMUSG00000112257			Gm47623
ENSMUSG00000112576			Gm47621
ENSMUSG00000117955			Gm50205
ENSMUSG00002076720			Gm55397
ENSMUSG00000112681			Gm47622
ENSMUSG00000034445	ENSG00000162144	CYB561A3	Cyb561a3
ENSMUSG00000112853			Gm47637
ENSMUSG00000081217			Gm15268
ENSMUSG00000112032			Gm48036
ENSMUSG00000118918	ENSG00000272055	RNU6-6P	Gm24486
ENSMUSG00000081803			Gm15282
ENSMUSG00000038594	ENSG00000111860	CEP85L	Cep85l
ENSMUSG00000054667	ENSG00000133124	IRS4	Irs4
ENSMUSG00000028821	ENSG00000117614	SYF2	Syf2
ENSMUSG00000031197	ENSG00000155959	VBP1	Vbp1
ENSMUSG00000104963			Gm42974
ENSMUSG00000106262			Gm43375
ENSMUSG00000106640			Gm20940
ENSMUSG00000105202			
ENSMUSG00000105733			Gm42973
ENSMUSG00000105445			Gm42972
ENSMUSG00000105568			Gm42971
ENSMUSG00000106446			Gm42970
ENSMUSG00000105822			Gm42969
ENSMUSG00000106369			Gm43355
ENSMUSG00000105969			Gm42525
ENSMUSG00002075047			Gm54939
ENSMUSG00000104957			Gm43354
ENSMUSG00000015745	ENSG00000023902	PLEKHO1	Plekho1
ENSMUSG00000085094			Gm15692
ENSMUSG00000102791			Gm37709
ENSMUSG00000097552			Rps19-ps12
ENSMUSG00000101810			1700066C05Rik
ENSMUSG00000112239			Gm17823
ENSMUSG00000088476			Gm23083
ENSMUSG00000070691	ENSG00000020633	RUNX3	Runx3
ENSMUSG00000038583	ENSG00000198523	PLN	Pln
ENSMUSG00002076249			Gm54833
ENSMUSG00000116918			Gm49578
ENSMUSG00000116559			Gm19867
ENSMUSG00000057388	ENSG00000112110	MRPL18	Mrpl18
ENSMUSG00000116566			Fkbp1a-ps3
ENSMUSG00000022762	ENSG00000154654	NCAM2	Ncam2
ENSMUSG00000106898			Gm43125
ENSMUSG00000107389			Gm43124
ENSMUSG00000112734			Gm47644
ENSMUSG00000035199	ENSG00000144746	ARL6IP5	Arl6ip5
ENSMUSG00000111892			Gm47641
ENSMUSG00000056219			Tmem229b-ps
ENSMUSG00000112440			Gm47722
ENSMUSG00000040249	ENSG00000123384	LRP1	Lrp1
ENSMUSG00000024069	ENSG00000152683	SLC30A6	Slc30a6
ENSMUSG00000025427	ENSG00000141622	ARK2C	Ark2c
ENSMUSG00000000183	ENSG00000111241	FGF6	Fgf6
ENSMUSG00000061947	ENSG00000140093	SERPINA10	Serpina10
ENSMUSG00000027968	ENSG00000174720	LARP7	Larp7
ENSMUSG00000035840	ENSG00000176018	LYSMD3	Lysmd3
ENSMUSG00000084986			Gm16224
ENSMUSG00000037242	ENSG00000169504	CLIC4	Clic4
ENSMUSG00000044086	ENSG00000163380	LMOD3	Lmod3
ENSMUSG00000000182	ENSG00000118972	FGF23	Fgf23
ENSMUSG00002075706	ENSG00000222761	RNU6-684P	Gm55765
ENSMUSG00000065389			Gm23100
ENSMUSG00000114371			Gm48769
ENSMUSG00000030401	ENSG00000125744	RTN2	Rtn2
ENSMUSG00000114617			Gm48766
ENSMUSG00000080775			Gm6368
ENSMUSG00000114714			Gm48763
ENSMUSG00000086573			Gm15384
ENSMUSG00000021207			Akr1c21
ENSMUSG00000082291			Gm5762
ENSMUSG00000083026			Gm6373
ENSMUSG00000031202	ENSG00000155961	RAB39B	Rab39b
ENSMUSG00000087270			Gm12983
ENSMUSG00000082833			Gm12982
ENSMUSG00000038028	ENSG00000078237	TIGAR	Tigar
ENSMUSG00000028487	ENSG00000173068	BNC2	Bnc2
ENSMUSG00000101916			Gm18501
ENSMUSG00000060807	ENSG00000170099	SERPINA6	Serpina6
ENSMUSG00000086937			Gm15063
ENSMUSG00000077406			Gm25421
ENSMUSG00000082551			Gm15065
ENSMUSG00000031353	ENSG00000102054	RBBP7	Rbbp7
ENSMUSG00000117855			Gm50197
ENSMUSG00000039840	ENSG00000152223	EPG5	Epg5
ENSMUSG00000097525			Platr31
ENSMUSG00000034371	ENSG00000149476	TKFC	Tkfc
ENSMUSG00000107379			Gm43126
ENSMUSG00000071179			Serpina16
ENSMUSG00000081556			Gm15778
ENSMUSG00000059182	ENSG00000005020	SKAP2	Skap2
ENSMUSG00000021081	ENSG00000258597	SERPINA2	Serpina1f
ENSMUSG00002076261			Gm54838
ENSMUSG00000116888			7120432I05Rik
ENSMUSG00000116735			Gm49555
ENSMUSG00000116803			Gm49558
ENSMUSG00000076252			Mir302b
ENSMUSG00000065482	ENSG00000199102	MIR302C	Mir302c
ENSMUSG00000065552			Mir302a
ENSMUSG00000116954			Gm5676
ENSMUSG00000065447	ENSG00000199145	MIR302D	Mir302d
ENSMUSG00000065413			Mir367
ENSMUSG00000015747	ENSG00000136631	VPS45	Vps45
ENSMUSG00000116909			Gm49559
ENSMUSG00000116678			Pgk1-ps1
ENSMUSG00000071475			Rpl21-ps5
ENSMUSG00000116533			Gm49561
ENSMUSG00000116745			Gm41481
ENSMUSG00000041134	ENSG00000166265	CYYR1	Cyyr1
ENSMUSG00000031958	ENSG00000166816	LDHD	Ldhd
ENSMUSG00000114581			Gm8277
ENSMUSG00000114387			Gm48767
ENSMUSG00000114746			4933436N17Rik
ENSMUSG00000077282			Gm26395
ENSMUSG00000039114	ENSG00000124785	NRN1	Nrn1
ENSMUSG00000097266			Gm26802
ENSMUSG00000030609	ENSG00000181026	AEN	Aen
ENSMUSG00000091355			Gm17142
ENSMUSG00000089698			Gm2541
ENSMUSG00000116972			Gm6278
ENSMUSG00000022893	ENSG00000154734	ADAMTS1	Adamts1
ENSMUSG00000071178	ENSG00000197249	SERPINA1	Serpina1b
ENSMUSG00000035834			Polr3g
ENSMUSG00000105995			Gm43554
ENSMUSG00000038495	ENSG00000264522	OTUD7B	Otud7b
ENSMUSG00000091055	ENSG00000197046	SIGLEC15	Siglec15
ENSMUSG00000059336	ENSG00000141469	SLC14A1	Slc14a1
ENSMUSG00000055835	ENSG00000184517	ZFP1	Zfp1
ENSMUSG00002076917			Gm55738
ENSMUSG00000042155	ENSG00000213160	KLHL23	Klhl23
ENSMUSG00000051098	ENSG00000176055	MBLAC2	Mblac2
ENSMUSG00000000184	ENSG00000118971	CCND2	Ccnd2
ENSMUSG00000071177	ENSG00000197249	SERPINA1	Serpina1d
ENSMUSG00000022894	ENSG00000154736	ADAMTS5	Adamts5
ENSMUSG00000114905			Gm48113
ENSMUSG00000031957	ENSG00000168928	CTRB2	Ctrb1
ENSMUSG00000031957	ENSG00000168925	CTRB1	Ctrb1
ENSMUSG00000045410	ENSG00000165568	AKR1E2	Akr1e1
ENSMUSG00000076014			Mir669a-2
ENSMUSG00002075031			Gm55739
ENSMUSG00002076116			Gm55740
ENSMUSG00002076473			Gm55741
ENSMUSG00000076222			Mir297b
ENSMUSG00000078031			Mir466d
ENSMUSG00002075959			Gm55742
ENSMUSG00000089570			Mir669m-1
ENSMUSG00000088980			Mir669m-2
ENSMUSG00000077991			Mir466n
ENSMUSG00000077086			Mir669o
ENSMUSG00000078025			Mir466g
ENSMUSG00000077941			Mir466h
ENSMUSG00000076956			Mir297a-3
ENSMUSG00000090466			Gm17043
ENSMUSG00000078060			Mir466l
ENSMUSG00000077954			Mir297a-4
ENSMUSG00002075177			Gm55743
ENSMUSG00000066232	ENSG00000205339	IPO7	Ipo7
ENSMUSG00000080657			Mir669i
ENSMUSG00000080594			Mir669h
ENSMUSG00000103237			Gm18547
ENSMUSG00000081367			Gm13265
ENSMUSG00000082871			Gm13263
ENSMUSG00000099129			Mir7076
ENSMUSG00000031955	ENSG00000050820	BCAR1	Bcar1
ENSMUSG00000102734			Gm37343
ENSMUSG00000089007	ENSG00000252458		Gm23877
ENSMUSG00000091902			Gm6918
ENSMUSG00000084560			Gm26478
ENSMUSG00000081693			Gm13297
ENSMUSG00000083900			Gm13294
ENSMUSG00000083743			Gm12421
ENSMUSG00000116669			Gm49570
ENSMUSG00000081775			Gm12420
ENSMUSG00000066366	ENSG00000197249	SERPINA1	Serpina1a
ENSMUSG00000038070	ENSG00000044459	CNTLN	Cntln
ENSMUSG00000116906			Gm49572
ENSMUSG00000089252			Gm25715
ENSMUSG00000022935	ENSG00000171189	GRIK1	Grik1
ENSMUSG00000107378			Gm18995
ENSMUSG00000106755			Tpi-rs11
ENSMUSG00000062365			Gm4968
ENSMUSG00000107013			Gm43635
ENSMUSG00000079110	ENSG00000092529	CAPN3	Capn3
ENSMUSG00000081113			Gm7308
ENSMUSG00000107045			Gm43636
ENSMUSG00000106843			Gm42458
ENSMUSG00000107243			Gm43631
ENSMUSG00000081996			Gm7153
ENSMUSG00000106883			Gm34091
ENSMUSG00000042282	ENSG00000101890	GUCY2F	Gucy2f
ENSMUSG00000040029	ENSG00000133704	IPO8	Ipo8
ENSMUSG00000020598	ENSG00000091129	NRCAM	Nrcam
ENSMUSG00000024740	ENSG00000167986	DDB1	Ddb1
ENSMUSG00000031481	ENSG00000132958	TPTE2	Tpte
ENSMUSG00000031481	ENSG00000274391	TPTE	Tpte
ENSMUSG00000049281	ENSG00000166257	SCN3B	Scn3b
ENSMUSG00000051278			Zgrf1
ENSMUSG00000083899			Gm12346
ENSMUSG00000064600			Gm25636
ENSMUSG00000064451	ENSG00000201998	SNORA23	Snora23
ENSMUSG00000020836	ENSG00000167549	CORO6	Coro6
ENSMUSG00000003545	ENSG00000125740	FOSB	Fosb
ENSMUSG00000053499			Gm5444
ENSMUSG00000077473			Gm24790
ENSMUSG00000113668			Gm47451
ENSMUSG00000021537	ENSG00000153140	CETN3	Cetn3
ENSMUSG00000099569			Gm18301
ENSMUSG00000102687			Gm37219
ENSMUSG00000118848			Gm25412
ENSMUSG00000081409			Gm8215
ENSMUSG00000060743			H3f3a
ENSMUSG00000083617			Gm5390
ENSMUSG00000086499			Gm16217
ENSMUSG00000082168			Gm14656
ENSMUSG00000112696			Gm48815
ENSMUSG00000045330			Magec2
ENSMUSG00000002147	ENSG00000166888	STAT6	Stat6
ENSMUSG00000039193	ENSG00000091106	NLRC4	Nlrc4
ENSMUSG00000024552	ENSG00000132874	SLC14A2	Slc14a2
ENSMUSG00000038344	ENSG00000086712	TXLNG	Txlng
ENSMUSG00000083139			Gm12418
ENSMUSG00000073867			AA474408
ENSMUSG00000029055	ENSG00000149527	PLCH2	Plch2
ENSMUSG00000035632	ENSG00000088038	CNOT3	Cnot3
ENSMUSG00000114634			F830210D05Rik
ENSMUSG00000088923			Gm24295
ENSMUSG00000114461			Gm48155
ENSMUSG00000114932			Gm4936
ENSMUSG00002074972			Gm54969
ENSMUSG00000106655			Mir3961
ENSMUSG00000114372			2310067P03Rik
ENSMUSG00000114735			Gm48156
ENSMUSG00000021423	ENSG00000112799	LY86	Ly86
